Afghanistan,6,9,46695428,7961908.17
Albania,41,550,1500000,109957.32
Algeria,33,0,3744000,411669.72
Andorra,5,40000,2147483647,1.7648485163048775E15
Angola,3,600000,2400000,1216666.67
Argentina,329,800,2288000,248387.87
Armenia,43,430,41600000,4411408.45
Australia,1171,3,8320000,220349.26
Austria,408,12,2400000,61807.94
Azerbaijan,29,144,70000,18748.42
Bahamas,2,57000,120000,88500.0
Bahrain,6,400,24000,9766.67
Bangladesh,240,1,15600000,664997.9
Barbados,3,15600,65000,33853.79
Belarus,132,1,2400000,65490.54
Belgium,392,1,3180000,66195.3
Benin,2,4200000,36000000,2.01E7
Bhutan,3,3000,300000,109666.67
Bolivia,16,400,180000,32185.63
Bosnia and Herzegovina,58,600,2147483647,1.43236825644E9
Botswana,2,140000,208000,174000.0
Brazil,1369,0,2147483647,8.765522279035793E27
Bulgaria,206,2,780000,49543.69
Burundi,1,18500,18500,18500.0
Cambodia,16,300,63000,16186.13
Cameroon,12,500,33800000,5507358.34
Canada,1986,56,2147483647,5.54381173721556E74
Chile,116,900,144000000,1.114645738E7
China,279,9,4750000,205428.3
Colombia,204,535,360000000,3.036203639E7
"Congo, Republic of the...",2,12000,5400000,2706000.0
Costa Rica,59,7,88400000,3902251.33
Croatia,115,5,384000,85159.86
Cuba,27,35,900000,45186.63
Cyprus,22,1470,240000,46318.64
Czech Republic,403,1500,9216000,558747.55
Côte d'Ivoire,1,3000,3000,3000.0
Democratic Republic of the Congo,2,12600,60000,36300.0
Denmark,372,11208,12000000,609618.84
Dominica,1,1040,1040,1040.0
Dominican Republic,58,725,1560000,337475.85
Ecuador,29,800,432000,33443.45
Egypt,143,15,360000,62397.97
El Salvador,24,1000,95000,20141.34
Eritrea,1,3000,3000,3000.0
Estonia,106,660,540000,38542.74
Ethiopia,18,2640,444000,120880.0
Fiji,5,7200,33600,21152.0
Finland,310,2400,840000,59343.23
France,1452,44,4320000,80242.53
Gabon,1,7200000,7200000,7200000.0
Gambia,2,180000,300000,240000.0
Georgia,30,1000,240000,33204.0
Germany,3435,4,2147483647,1.8689233780071512E16
Ghana,27,300,432000,45363.12
Greece,246,10,660816,39453.27
Guatemala,28,500,240000,74051.79
Guyana,1,4500,4500,4500.0
Haiti,1,2000,2000,2000.0
Honduras,10,700,540000,152850.0
Hong Kong (S.A.R.),92,3000,5184000,428843.66
Hungary,230,936,49200000,5650794.67
Iceland,23,18000,14400000,4910105.57
India,4182,0,2147483647,1.2434244380679101E36
Indonesia,204,30,2147483647,2.18634977476E9
"Iran, Islamic Republic of...",340,0,2147483647,2.7897948368E8
Iraq,11,750,20000000,3020293.64
Ireland,317,80,2147483647,3.7854889591570855E15
Israel,472,1,2147483647,2.3687016969E8
Italy,760,240,1500000,78279.72
Jamaica,7,13032,4300000,1769290.29
Japan,175,3000,180000000,8434005.49
Jordan,36,1400,168000,21053.84
Kazakhstan,51,3055,28600000,2998648.53
Kenya,65,2,4200000,670557.88
Kuwait,9,7200,1500000,181006.67
Kyrgyzstan,9,1800,540000,69146.67
Latvia,86,400,95000,25701.97
Lebanon,42,4000,42300000,2880085.34
Lesotho,1,480000,480000,480000.0
Libyan Arab Jamahiriya,4,650,180000,60437.5
Liechtenstein,2,73200,744000,408600.0
Lithuania,140,400,228000,31001.81
Luxembourg,34,5600,12000000,475542.24
Madagascar,9,2520,48000000,1.125401334E7
Malawi,2,4800,216000,110400.0
Malaysia,146,108,2147483647,2.49977932553E9
Maldives,4,14400,240000,98460.0
Malta,37,1800,420000,67284.87
Marshall Islands,1,36000,36000,36000.0
Mauritius,12,7200,1080000,396083.34
Mexico,397,100,3500000,303580.36
Mongolia,8,4800,60000000,1.4228975E7
Montenegro,8,1700,95000,28212.5
Morocco,62,120,720000,77118.07
Mozambique,8,5000,1956000,733825.0
Myanmar,15,4800,33300000,4869386.67
Namibia,2,96000,264000,180000.0
Nepal,82,50,18000000,759898.08
Netherlands,1036,10,2147483647,9.652509652509651E31
New Zealand,319,374,4680000,240509.05
Nicaragua,12,600,576000,107986.0
Nigeria,138,420,685152000,8368099.73
Norway,337,140,11640000,1186286.37
Oman,8,16,4005540,533364.6
Other Country (Not Listed Above),41,1,600000000,1.486576349E7
Pakistan,407,50,4622176,600982.7
Panama,17,1000,184000,31881.18
Paraguay,29,700,187000000,3.27736938E7
Peru,48,550,108000,33465.21
Philippines,174,520,14400000,487436.51
Poland,1071,16,2147483647,1.40056035620214E12
Portugal,294,20,4800000,52605.56
Qatar,6,1692,4920000,924482.0
Republic of Korea,15,0,53000000,2.316293335E7
Republic of Moldova,32,700,2600000,184365.63
Romania,380,12,100000000,338897.62
Russian Federation,1323,0,110400000,1242585.25
Rwanda,6,500,14400000,2465966.67
Saint Lucia,1,432000,432000,432000.0
Saudi Arabia,47,300,3000000,247904.86
Senegal,3,12000,19200000,7804000.0
Serbia,183,500,10000000,424592.85
Sierra Leone,1,120000,120000,120000.0
Singapore,154,750,1680000,120010.3
Slovakia,117,60,120000,24494.21
Slovenia,120,700,960000,42567.47
Somalia,4,2400,36000,15900.0
South Africa,373,360,11299200,722640.16
South Korea,57,2200,1200000000,1.1377492983E8
Spain,979,0,2147483647,1.233152833E7
Sri Lanka,172,781,4200000,989413.19
Sudan,9,50,204000,46352.23
Suriname,1,18600,18600,18600.0
Swaziland,3,18000,48000,30000.0
Sweden,731,516,9600000,540204.98
Switzerland,560,110,2400000,144819.19
Syrian Arab Republic,20,800,3360000,910690.0
Taiwan,69,10200,8000000,906816.7
Tajikistan,2,4200,54000,29100.0
Thailand,71,52,2000000,620216.12
The former Yugoslav Republic of Macedonia,25,1200,1886100,136613.6
Togo,2,24000,241000,132500.0
Trinidad and Tobago,11,12000,480000,145363.64
Tunisia,44,48,29031276,1201670.14
Turkey,408,35,11970556,142952.98
Turkmenistan,1,12000,12000,12000.0
Uganda,27,1000,230400000,2.847957571E7
Ukraine,495,48,9600000,224739.1
United Arab Emirates,76,4500,4800000,356815.49
United Kingdom,3750,1,2147483647,2.6666666666666665E101
United Republic of Tanzania,18,500,54840000,1.554098334E7
United States,12821,0,2147483647,7.79970382145441E12
Uruguay,50,1,1400000,251843.66
Uzbekistan,18,2000,144000000,1.514304912E7
"Venezuela, Bolivarian Republic of...",61,13,120000000,8225253.89
Viet Nam,91,24,2147483647,1.5923165125E8
Yemen,7,3000,2400000,630085.72
Zambia,2,18000,300000,159000.0
Zimbabwe,17,2400,1000000,78022.48
